| 0-5%|  383.5 |  0.6 | 0.17 | 
| 0-10%|  357.4 |  0.8 | 0.22 | 
| 0-20%|  309.7 |  1.0 | 0.31 | 
| 0-30%|  269.1 |  1.0 | 0.38 | 
| 0-50%|  204.9 |  1.1 | 0.53 | 
| 0-80%|  140.8 |  0.9 | 0.67 | 
| 0-90%|  126.0 |  0.8 | 0.67 | 
| 0-100%|  113.7 |  0.4 | 0.33 | 
| 5-10%|  331.2 |  1.4 | 0.43 | 
| 10-15%|  283.2 |  1.3 | 0.48 | 
| 10-20%|  262.0 |  1.4 | 0.54 | 
| 10-30%|  224.9 |  1.2 | 0.55 | 
| 15-20%|  240.8 |  1.5 | 0.62 | 
| 20-25%|  204.1 |  1.4 | 0.69 | 
| 20-30%|  187.9 |  1.5 | 0.81 | 
| 20-40%|  159.2 |  1.3 | 0.79 | 
| 25-30%|  171.6 |  1.7 | 0.97 | 
| 30-35%|  143.2 |  1.5 | 1 | 
| 30-40%|  130.5 |  1.6 | 1.2 | 
| 30-50%|  108.8 |  1.6 | 1.5 | 
| 30-90%|  54.44 |  0.61 | 1.1 | 
| 30-100%|  47.10 |  0.63 | 1.3 | 
| 35-40%|  117.8 |  1.7 | 1.5 | 
| 40-45%|  96.43 |  1.60 | 1.7 | 
| 40-50%|  87.03 |  1.62 | 1.9 | 
| 40-60%|  70.93 |  1.17 | 1.7 | 
| 40-100%|  33.19 |  0.64 | 1.9 | 
| 45-50%|  77.64 |  1.56 | 2 | 
| 50-55%|  61.98 |  1.37 | 2.2 | 
| 50-60%|  54.83 |  1.26 | 2.3 | 
| 50-70%|  43.08 |  0.98 | 2.3 | 
| 50-80%|  34.02 |  0.75 | 2.2 | 
| 50-90%|  27.28 |  0.58 | 2.1 | 
| 50-100%|  22.43 |  0.55 | 2.5 | 
| 55-60%|  47.68 |  1.24 | 2.6 | 
| 60-65%|  36.15 |  0.96 | 2.7 | 
| 60-70%|  31.34 |  0.90 | 2.9 | 
| 60-80%|  23.62 |  0.69 | 2.9 | 
| 65-70%|  26.54 |  0.75 | 2.8 | 
| 70-75%|  18.94 |  0.49 | 2.6 | 
| 70-80%|  15.91 |  0.36 | 2.3 | 
| 70-90%|  11.47 |  0.32 | 2.8 | 
| 70-100%|  8.653 |  0.216 | 2.5 | 
| 75-80%|  12.88 |  0.28 | 2.2 | 
| 80-85%|  8.518 |  0.145 | 1.7 | 
| 80-90%|  7.044 |  0.142 | 2 | 
| 80-100%|  5.026 |  0.076 | 1.5 | 
| 85-90%|  5.570 |  0.064 | 1.1 | 
| 90-95%|  3.555 |  0.050 | 1.4 | 
| 90-100%|  3.009 |  0.043 | 1.4 | 
| 95-100%|  2.462 |  0.037 | 1.5 | 

